ratio,model_id,strategy,layout_index,distribution_request_assigned,n_conditions_total,n_confidence,mean_subjective_confidence,median_subjective_confidence,sd,se,ci95_low,ci95_high
2:1,anthropic/claude-haiku-4.5,standard,1,0.0,37,37,65.75675675675676,68.0,13.667490636554332,2.2469216196549855,61.3528713061487,70.16064220736482
2:1,anthropic/claude-haiku-4.5,standard,1,1.0,38,38,62.421052631578945,67.0,13.877127942881444,2.251167416107643,58.00884557283799,66.83325969031989
2:1,deepseek/deepseek-v4-flash,standard,1,0.0,37,37,87.70270270270271,90.0,10.71049554010993,1.7607946203326184,84.25160866267899,91.15379674272643
2:1,deepseek/deepseek-v4-flash,standard,1,1.0,38,38,85.84210526315789,90.0,11.737043036125556,1.9039998011932078,82.11033422624789,89.5738763000679
2:1,gemini-3.5-flash,standard,1,0.0,37,37,98.24324324324324,100.0,2.6916063502571737,0.4424973582069482,97.37596435790353,99.11052212858296
2:1,gemini-3.5-flash,standard,1,1.0,38,37,95.0,100.0,8.897565210026093,1.4627507100116683,92.13306129001681,97.86693870998319
2:2,anthropic/claude-haiku-4.5,standard,1,0.0,37,33,59.24242424242424,58.0,14.188530365735343,2.4699061075234487,54.4014972264829,64.08335125836558
2:2,anthropic/claude-haiku-4.5,standard,1,1.0,38,36,59.083333333333336,57.5,13.159190161795129,2.193198360299188,54.784743536194746,63.381923130471925
2:2,deepseek/deepseek-v4-flash,standard,1,0.0,37,37,60.810810810810814,70.0,22.314466953871776,3.668475769475381,53.6207304244814,68.00089119714022
2:2,deepseek/deepseek-v4-flash,standard,1,1.0,38,34,77.5,87.5,26.890631465364674,4.61170524989867,68.46122380288456,86.53877619711544
2:2,gemini-3.5-flash,standard,1,0.0,37,37,99.86486486486487,100.0,0.8219949365267865,0.13513513513513514,99.60000486695407,100.0
2:2,gemini-3.5-flash,standard,1,1.0,38,38,98.15789473684211,100.0,3.373396041600373,0.5472370999053014,97.0853297300236,99.23045974366062
3:1,anthropic/claude-haiku-4.5,standard,1,0.0,37,37,76.94594594594595,78.0,12.618209826247906,2.0744209170416643,72.88015565976785,81.01173623212405
3:1,anthropic/claude-haiku-4.5,standard,1,1.0,38,38,72.8157894736842,75.0,12.569493879504982,2.03904116002772,68.81934223703522,76.8122367103332
3:1,deepseek/deepseek-v4-flash,standard,1,0.0,37,37,90.54054054054055,95.0,13.374093104445116,2.1986873624983394,86.23119249678057,94.84988858430053
3:1,deepseek/deepseek-v4-flash,standard,1,1.0,38,38,91.44736842105263,95.0,12.56915436838426,2.038986084051227,87.45102913133398,95.44370771077128
3:1,gemini-3.5-flash,standard,1,0.0,37,37,98.91891891891892,100.0,2.396506466347054,0.39398323613819597,98.14672596557554,99.6911118722623
3:1,gemini-3.5-flash,standard,1,1.0,38,37,98.91891891891892,100.0,2.396506466347054,0.39398323613819597,98.14672596557554,99.6911118722623
3:2,anthropic/claude-haiku-4.5,standard,1,0.0,37,37,65.43243243243244,68.0,11.727319814434583,1.9279595012990962,61.653701246234505,69.21116361863037
3:2,anthropic/claude-haiku-4.5,standard,1,1.0,38,38,63.10526315789474,68.0,12.182817926554554,1.9763140374230097,59.2317588224048,66.97876749338468
3:2,deepseek/deepseek-v4-flash,standard,1,0.0,37,37,77.27027027027027,85.0,22.089022724532768,3.6314129664782113,70.15283164298141,84.38770889755914
3:2,deepseek/deepseek-v4-flash,standard,1,1.0,38,38,73.55263157894737,80.0,23.159490925204977,3.75696553055175,66.18911444790773,80.91614870998701
3:2,gemini-3.5-flash,standard,1,0.0,37,37,97.43243243243244,100.0,4.017603905456726,0.6604900134511342,96.13789579391987,98.726969070945
3:2,gemini-3.5-flash,standard,1,1.0,38,38,90.92105263157895,95.0,12.937232209417836,2.0986961945104365,86.80768367584733,95.03442158731056
4:0,anthropic/claude-haiku-4.5,standard,1,0.0,37,37,98.67567567567568,99.0,0.6260126930757012,0.10291585278194473,98.47396431078485,98.8773870405665
4:0,anthropic/claude-haiku-4.5,standard,1,1.0,38,38,98.65789473684211,99.0,0.8784604404166166,0.1425051010515391,98.37858987116786,98.93719960251636
4:0,deepseek/deepseek-v4-flash,standard,1,0.0,37,37,100.0,100.0,0.0,0.0,100.0,100.0
4:0,deepseek/deepseek-v4-flash,standard,1,1.0,38,38,100.0,100.0,0.0,0.0,100.0,100.0
4:0,gemini-3.5-flash,standard,1,0.0,37,37,100.0,100.0,0.0,0.0,100.0,100.0
4:0,gemini-3.5-flash,standard,1,1.0,38,38,100.0,100.0,0.0,0.0,100.0,100.0
4:1,anthropic/claude-haiku-4.5,standard,1,0.0,37,37,79.75675675675676,82.0,11.819018114428507,1.9430346089557202,75.94847890248879,83.56503461102473
4:1,anthropic/claude-haiku-4.5,standard,1,1.0,38,38,80.36842105263158,78.0,7.397666003842676,1.200059892194088,78.01634688464021,82.72049522062294
4:1,deepseek/deepseek-v4-flash,standard,1,0.0,37,37,92.97297297297297,95.0,4.633731916228157,0.7617808344724218,91.4799099732942,94.46603597265174
4:1,deepseek/deepseek-v4-flash,standard,1,1.0,38,38,93.8157894736842,95.0,4.71257812700537,0.7644811209525584,92.31743400975643,95.31414493761199
4:1,gemini-3.5-flash,standard,1,0.0,37,37,99.27027027027027,100.0,1.7424224619867694,0.2864524882087323,98.70883371009928,99.83170683044126
4:1,gemini-3.5-flash,standard,1,1.0,38,38,98.42105263157895,100.0,2.355345604380378,0.3820875111966797,97.67217487069092,99.16993039246697
