ratio,model_id,strategy,layout_index,distribution_request_assigned,metric,n_conditions_total,n_observed,n_missing,mean,median,sd,se,ci95_low,ci95_high
2:1,anthropic/claude-haiku-4.5,standard,1,0.0,self_consistency,37,37,0,0.9099099099099098,1.0,0.15007505629691606,0.024672187275007484,0.8615533114310691,0.9582665083887506
2:1,anthropic/claude-haiku-4.5,standard,1,1.0,self_consistency,38,38,0,0.9736842105263158,1.0,0.09109210424436463,0.014777090604312398,0.9447216451455791,1.0
2:1,deepseek/deepseek-v4-flash,standard,1,0.0,self_consistency,37,37,0,0.9819819819819818,1.0,0.07641447837837521,0.012562462860872007,0.9573600072175513,1.0
2:1,deepseek/deepseek-v4-flash,standard,1,1.0,self_consistency,38,38,0,0.9736842105263158,1.0,0.09109210424436463,0.014777090604312398,0.9447216451455791,1.0
2:1,gemini-3.5-flash,standard,1,0.0,self_consistency,37,37,0,0.9369369369369369,1.0,0.13235375898521934,0.021758823943227392,0.8942904256622646,0.9795834482116093
2:1,gemini-3.5-flash,standard,1,1.0,self_consistency,38,38,0,0.868421052631579,1.0,0.18240096550588936,0.02958934383998857,0.8104270043790309,0.926415100884127
2:2,anthropic/claude-haiku-4.5,standard,1,0.0,self_consistency,37,37,0,0.8378378378378378,1.0,0.23069435743689068,0.03792591873968495,0.7635044030274647,0.912171272648211
2:2,anthropic/claude-haiku-4.5,standard,1,1.0,self_consistency,38,38,0,0.850877192982456,1.0,0.2005603025558076,0.03253517730301882,0.7871094172379158,0.9146449687269962
2:2,deepseek/deepseek-v4-flash,standard,1,0.0,self_consistency,37,37,0,0.936936936936937,1.0,0.13235375898521934,0.021758823943227392,0.8942904256622647,0.9795834482116094
2:2,deepseek/deepseek-v4-flash,standard,1,1.0,self_consistency,38,38,0,0.763157894736842,0.6666666666666666,0.21793316242448504,0.035353427320021266,0.6938664504595479,0.8324493390141362
2:2,gemini-3.5-flash,standard,1,0.0,self_consistency,37,37,0,0.9819819819819818,1.0,0.07641447837837521,0.012562462860872007,0.9573600072175513,1.0
2:2,gemini-3.5-flash,standard,1,1.0,self_consistency,38,38,0,0.8947368421052632,1.0,0.15702304029202524,0.02547250074644532,0.8448116580460621,0.9446620261644643
3:1,anthropic/claude-haiku-4.5,standard,1,0.0,self_consistency,37,37,0,0.9639639639639639,1.0,0.10493336462255945,0.01725093887849258,0.9301527450626176,0.9977751828653102
3:1,anthropic/claude-haiku-4.5,standard,1,1.0,self_consistency,38,38,0,0.982456140350877,1.0,0.07543142864047142,0.012236593551980979,0.9584728576955399,1.0
3:1,deepseek/deepseek-v4-flash,standard,1,0.0,self_consistency,37,37,0,0.990990990990991,1.0,0.054799662435119106,0.00900900900900901,0.9733336577969369,1.0
3:1,deepseek/deepseek-v4-flash,standard,1,1.0,self_consistency,38,38,0,1.0,1.0,0.0,0.0,1.0,1.0
3:1,gemini-3.5-flash,standard,1,0.0,self_consistency,37,37,0,0.9369369369369369,1.0,0.13235375898521934,0.021758823943227392,0.8942904256622646,0.9795834482116093
3:1,gemini-3.5-flash,standard,1,1.0,self_consistency,38,38,0,0.982456140350877,1.0,0.10814761408717502,0.017543859649122806,0.9480708072887718,1.0
3:2,anthropic/claude-haiku-4.5,standard,1,0.0,self_consistency,37,37,0,0.927927927927928,1.0,0.13911393179460024,0.022870189507098827,0.8831031801744097,0.9727526756814463
3:2,anthropic/claude-haiku-4.5,standard,1,1.0,self_consistency,38,38,0,0.9385964912280703,1.0,0.13095315068773059,0.021243406206114552,0.8969601801551322,0.9802328023010084
3:2,deepseek/deepseek-v4-flash,standard,1,0.0,self_consistency,37,37,0,0.9819819819819818,1.0,0.07641447837837521,0.012562462860872007,0.9573600072175513,1.0
3:2,deepseek/deepseek-v4-flash,standard,1,1.0,self_consistency,38,38,0,0.9385964912280701,1.0,0.13095315068773059,0.021243406206114552,0.896960180155132,0.9802328023010082
3:2,gemini-3.5-flash,standard,1,0.0,self_consistency,37,37,0,0.8468468468468469,1.0,0.16840930802174117,0.027686319691570233,0.7925826573869086,0.9011110363067851
3:2,gemini-3.5-flash,standard,1,1.0,self_consistency,38,38,0,0.868421052631579,1.0,0.16511846114676162,0.02678575142215227,0.8159219445453194,0.9209201607178386
4:0,anthropic/claude-haiku-4.5,standard,1,0.0,self_consistency,37,37,0,1.0,1.0,0.0,0.0,1.0,1.0
4:0,anthropic/claude-haiku-4.5,standard,1,1.0,self_consistency,38,38,0,1.0,1.0,0.0,0.0,1.0,1.0
4:0,deepseek/deepseek-v4-flash,standard,1,0.0,self_consistency,37,37,0,1.0,1.0,0.0,0.0,1.0,1.0
4:0,deepseek/deepseek-v4-flash,standard,1,1.0,self_consistency,38,38,0,1.0,1.0,0.0,0.0,1.0,1.0
4:0,gemini-3.5-flash,standard,1,0.0,self_consistency,37,37,0,1.0,1.0,0.0,0.0,1.0,1.0
4:0,gemini-3.5-flash,standard,1,1.0,self_consistency,38,38,0,1.0,1.0,0.0,0.0,1.0,1.0
4:1,anthropic/claude-haiku-4.5,standard,1,0.0,self_consistency,37,37,0,0.9819819819819818,1.0,0.07641447837837521,0.012562462860872007,0.9573600072175513,1.0
4:1,anthropic/claude-haiku-4.5,standard,1,1.0,self_consistency,38,38,0,0.982456140350877,1.0,0.07543142864047142,0.012236593551980979,0.9584728576955399,1.0
4:1,deepseek/deepseek-v4-flash,standard,1,0.0,self_consistency,37,37,0,1.0,1.0,0.0,0.0,1.0,1.0
4:1,deepseek/deepseek-v4-flash,standard,1,1.0,self_consistency,38,38,0,1.0,1.0,0.0,0.0,1.0,1.0
4:1,gemini-3.5-flash,standard,1,0.0,self_consistency,37,37,0,0.9549549549549549,1.0,0.11552783220223031,0.01899265861962991,0.9177300280898171,0.9921798818200926
4:1,gemini-3.5-flash,standard,1,1.0,self_consistency,38,38,0,1.0,1.0,0.0,0.0,1.0,1.0
