distribution_request_assigned,model_id,ratio,strategy,layout_index,metric,n_conditions_total,n_observed,n_missing,mean,median,sd,se,ci95_low,ci95_high
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,conflict_mention_rate,37,37,0,0.11711351351351351,0.0,0.238515946546047,0.039211780068348856,0.040259836809846336,0.19396719021718067
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,conflict_mention_rate,37,37,0,0.19820270270270268,0.0,0.2882531704427035,0.047388529308339006,0.10532289197803998,0.29108251342736535
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,conflict_mention_rate,37,37,0,0.027024324324324323,0.0,0.09223235273965362,0.015162905387189552,0.0,0.05674307278420339
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,conflict_mention_rate,37,37,0,0.07207027027027027,0.0,0.1780410967926988,0.029269776011454782,0.014702563452266046,0.12943797708827448
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,conflict_mention_rate,37,37,0,0.009008108108108108,0.0,0.05479418246887559,0.00900810810810811,0.0,0.026663675568842762
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,conflict_mention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,conflict_mention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,conflict_mention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,conflict_mention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,conflict_mention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,gemini-3.5-flash,2:1,standard,1,conflict_mention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,gemini-3.5-flash,2:2,standard,1,conflict_mention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,gemini-3.5-flash,3:1,standard,1,conflict_mention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,gemini-3.5-flash,3:2,standard,1,conflict_mention_rate,37,37,0,0.009008108108108108,0.0,0.05479418246887559,0.00900810810810811,0.0,0.026663675568842762
0.0,gemini-3.5-flash,4:1,standard,1,conflict_mention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,conflict_mention_rate,38,38,0,0.14035,0.0,0.26431304919162235,0.04287723846327013,0.05631215685545733,0.2243878431445427
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,conflict_mention_rate,38,38,0,0.017544736842105262,0.0,0.10815302146787936,0.017544736842105262,0.0,0.051931789170863635
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,conflict_mention_rate,38,38,0,0.04385526315789474,0.0,0.11417857681711982,0.018522210993961116,0.007552396695680114,0.08015812962010936
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,gemini-3.5-flash,2:1,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,gemini-3.5-flash,2:2,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,gemini-3.5-flash,3:1,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,gemini-3.5-flash,3:2,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,gemini-3.5-flash,4:1,standard,1,conflict_mention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,abstention_rate,37,37,0,0.018016216216216217,0.0,0.07640683693053736,0.012561206614585917,0.0,0.042635728783170235
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,gemini-3.5-flash,2:1,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,gemini-3.5-flash,2:2,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,gemini-3.5-flash,3:1,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,gemini-3.5-flash,3:2,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,gemini-3.5-flash,4:1,standard,1,abstention_rate,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,abstention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,abstention_rate,38,38,0,0.1140342105263158,0.0,0.22295652015379502,0.03616832354971813,0.043145598987678335,0.18492282206495325
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,abstention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,abstention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,abstention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,abstention_rate,38,38,0,0.008771052631578947,0.0,0.05406839966288315,0.008771052631578947,0.0,0.02596199989597847
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,abstention_rate,38,38,0,0.32456315789473683,0.3333,0.3421171274231161,0.055498726603752074,0.2157876525635508,0.43333866322592285
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,abstention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,abstention_rate,38,38,0,0.02631578947368421,0.0,0.11960091187918617,0.01940182989357668,0.0,0.06434267729926604
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,abstention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,gemini-3.5-flash,2:1,standard,1,abstention_rate,38,38,0,0.21052631578947367,0.0,0.3140518184856885,0.050945932303448675,0.1106741233159013,0.310378508263046
1.0,gemini-3.5-flash,2:2,standard,1,abstention_rate,38,38,0,0.8771999999999999,1.0,0.19637476306177323,0.03185619313809763,0.8147630087647783,0.9396369912352215
1.0,gemini-3.5-flash,3:1,standard,1,abstention_rate,38,38,0,0.008771052631578947,0.0,0.05406839966288315,0.008771052631578947,0.0,0.02596199989597847
1.0,gemini-3.5-flash,3:2,standard,1,abstention_rate,38,38,0,0.2456078947368421,0.0,0.334989815401118,0.05434252391870117,0.1390985050271843,0.3521172844464999
1.0,gemini-3.5-flash,4:1,standard,1,abstention_rate,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0
