distribution_request_assigned,model_id,ratio,strategy,layout_index,n_conditions,n_distribution_exposed,n_answer_only,n_full_format_compliant,format_compliance_rate_among_exposed,n_distribution_completely_missing,n_missing_p_majority,n_missing_p_minority,n_missing_p_indeterminate,n_missing_p_sources_conflict,n_missing_self_consistency,n_missing_posthoc_confidence
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,37,0,37,0,,0,0,0,0,0,0,4
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,gemini-3.5-flash,2:1,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,gemini-3.5-flash,2:2,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,gemini-3.5-flash,3:1,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,gemini-3.5-flash,3:2,standard,1,37,0,37,0,,0,0,0,0,0,0,0
0.0,gemini-3.5-flash,4:1,standard,1,37,0,37,0,,0,0,0,0,0,0,0
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,2
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,4
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,gemini-3.5-flash,2:1,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,1
1.0,gemini-3.5-flash,2:2,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,gemini-3.5-flash,3:1,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,1
1.0,gemini-3.5-flash,3:2,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
1.0,gemini-3.5-flash,4:1,standard,1,38,38,0,38,1.0,0,0,0,0,0,0,0
